2025-10-16 01:20:13,886 - basicLogger - DEBUG - Stored event passenger_count with a trace id of 1760602812791729100
2025-10-16 01:20:14,959 - basicLogger - DEBUG - Stored event passenger_count with a trace id of 1760602813897207700
2025-10-16 01:20:35,683 - basicLogger - DEBUG - Stored event wait_time with a trace id of 1760602834622892600
2025-10-16 01:20:36,752 - basicLogger - DEBUG - Stored event wait_time with a trace id of 1760602835690878900
2025-10-16 01:25:23,682 - basicLogger - DEBUG - Stored event passenger_count with a trace id of 1760603122478553800
2025-10-16 01:25:24,808 - basicLogger - DEBUG - Stored event passenger_count with a trace id of 1760603123731306700
2025-10-16 01:30:20,680 - basicLogger - DEBUG - Stored event wait_time with a trace id of 1760603419616440300
2025-10-16 01:30:23,867 - basicLogger - DEBUG - Stored event wait_time with a trace id of 1760603422762314900
2025-10-16 01:55:53,753 - basicLogger - DEBUG - Stored event passenger_count with a trace id of 1760604952535121300
2025-10-16 01:55:54,827 - basicLogger - DEBUG - Stored event passenger_count with a trace id of 1760604953756770700
2025-10-17 22:01:03,637 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 22:01:13,846 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 22:04:33,100 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 22:10:01,097 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 22:18:45,164 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 22:19:39,287 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 22:33:16,171 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 22:33:34,171 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:33:29.357852)
2025-10-17 22:33:39,054 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:33:34.351418)
2025-10-17 22:34:29,934 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:34:25.168058)
2025-10-17 22:34:34,906 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:34:30.165201)
2025-10-17 22:39:51,051 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 22:40:06,638 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:40:09,011 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:40:04.215630)
2025-10-17 22:40:11,538 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:40:13,904 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:40:09.206165)
2025-10-17 22:44:21,427 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:44:23,817 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:44:19.041915)
2025-10-17 22:44:26,424 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:44:28,787 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:44:24.043181)
2025-10-17 22:48:09,629 - basicLogger - DEBUG - Stored event passenger_count with a trace id of 1632934353001234700
2025-10-17 22:48:11,077 - basicLogger - DEBUG - Stored event passenger_count with a trace id of 1632934353001234700
2025-10-17 22:48:20,544 - basicLogger - DEBUG - Stored event wait_time with a trace id of 1632934353001234700
2025-10-17 22:48:21,213 - basicLogger - DEBUG - Stored event wait_time with a trace id of 1632934353001234700
2025-10-17 22:51:50,599 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:51:52,983 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:51:48.197151)
2025-10-17 22:52:48,454 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:52:50,826 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:52:46.034409)
2025-10-17 22:52:53,389 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:52:55,752 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:52:51.026742)
2025-10-17 22:52:58,383 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:53:00,752 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:52:56.025780)
2025-10-17 22:54:12,547 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:54:14,946 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:54:10.146136)
2025-10-17 22:54:17,523 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:54:18,750 - basicLogger - DEBUG - Stored event passenger_count with a trace id of 1632934353001234700
2025-10-17 22:54:19,922 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:54:15.143472)
2025-10-17 22:54:22,523 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:54:24,890 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:54:20.153543)
2025-10-17 22:54:26,834 - basicLogger - DEBUG - Stored event wait_time with a trace id of 1632934353001234700
2025-10-17 22:54:27,522 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:54:29,892 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:54:25.151251)
2025-10-17 22:54:32,512 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:54:34,950 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:54:30.152126)
2025-10-17 22:54:37,531 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:54:39,936 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:54:35.147629)
2025-10-17 22:56:28,584 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 22:56:37,719 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:56:40,063 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:56:35.313692)
2025-10-17 22:56:42,708 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:56:45,059 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:56:40.322423)
2025-10-17 22:56:47,679 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 2025-10-17, end: 2025-10-17)
2025-10-17 22:56:50,045 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 2025-10-17 22:15:57.788345, end: 2025-10-17 22:56:45.323021)
2025-10-17 22:57:52,522 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 22:57:52,706 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 22:57:55,049 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 22:57:50.317354)
2025-10-17 22:57:57,667 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 22:58:00,010 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 22:57:55.325047)
2025-10-17 22:58:02,678 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 22:58:05,042 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 22:58:00.323308)
2025-10-17 22:58:07,679 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 22:58:10,028 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 22:58:05.320272)
2025-10-17 22:58:12,662 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 22:58:15,001 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 22:58:10.319691)
2025-10-17 22:58:17,682 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 22:58:20,043 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 22:58:15.322628)
2025-10-17 22:58:22,698 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 22:58:25,062 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 22:58:20.318770)
2025-10-17 22:58:27,671 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 22:58:30,068 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 22:58:25.322782)
2025-10-17 22:58:32,695 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 22:58:35,043 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 22:58:30.325588)
2025-10-17 23:03:24,406 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 23:03:35,687 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:03:38,068 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:03:33)
2025-10-17 23:03:40,648 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:02,808 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 23:04:05,653 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:08,007 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:03)
2025-10-17 23:04:10,655 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:13,023 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:08)
2025-10-17 23:04:15,639 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:18,003 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:13)
2025-10-17 23:04:20,637 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:22,980 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:18)
2025-10-17 23:04:25,646 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:28,021 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:23)
2025-10-17 23:04:30,653 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:33,026 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:28)
2025-10-17 23:04:35,616 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:37,981 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:33)
2025-10-17 23:04:40,616 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:43,000 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:38)
2025-10-17 23:04:45,614 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:47,978 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:43)
2025-10-17 23:04:50,633 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:52,996 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:48)
2025-10-17 23:04:55,622 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
